"GSS_CODE","proportion_brownfield"
"E05000613",0.013808408600089
"E05000616",0
"E05000626",0.00418262996502123
"E05000624",0.017080398198803
"E05000612",0.0301273397218329
"E05000618",0.00193981330229989
"E05000615",0.00216948352809696
"E05000611",0.000603439296654707
"E05000610",0.00552843259005923
"E05000614",0.0342516429193302
"E05000619",0.0103269080139794
"E05000617",0.0097389626945698
"E05000622",0.00836013970213194
"E05000620",0.130887866317403
"E05000623",0.00498004281672309
"E05000259",0.018529856029861
"E05000257",0
"E05000262",0.0653644742488837
"E05000260",0.000259361490280622
"E05000254",0.0432832648637847
"E05000261",0.00658935076284616
"E05000256",0.0208328962815489
"E05000252",7.42825474313651e-05
"E05000251",0
"E05000265",0.00749326995262266
"E05000263",0.0441067376559965
"E05000253",0.163539236773043
"E05000264",0
"E05000255",0.0526618817463816
"E05000258",0.0991532534623384
"E05000250",0.00106883100144875
"E05000387",0.0352321226973915
"E05000391",0.0186242987354225
"E05000392",0
"E05000389",0.0906779718136178
"E05000396",0
"E05000399",0.00190578347339654
"E05000397",0.00346565650106264
"E05000383",0.00831716576354323
"E05000382",0.028745375183834
"E05000394",0.00651938457711228
"E05000393",0.00636059610686383
"E05000385",0
"E05000398",0.00847918244689766
"E05000388",0.00388330941320881
"E05000386",0
"E05000395",0
"E05000390",0.00858255377791576
"E05000384",0.0367626942448556
"E05000644",0.00860892871060192
"E05000638",0
"E05000637",0.00117372023833619
"E05000636",0.021471275973986
"E05000633",0.0895782269427702
"E05000646",0.0312858798921855
"E05000649",0.0207266540552124
"E05000635",0
"E05000632",0.00909635752166926
"E05000643",0
"E05000630",0
"E05000641",0.0141842376428084
"E05000642",0.00324480568745691
"E05000631",0.0398072038894077
"E05000647",0.0922672952577167
"E05000645",0.0398041697106785
"E05000648",0.0585012371579502
"E05000639",0.0143594433468261
"E05000640",0
"E05000634",0.00495031623113467
"E05000144",0.00495644158005105
"E05000137",0.0151309300548948
"E05000140",0.00399485653985638
"E05000129",0.00970231419979523
"E05000138",0.0297541050222744
"E05000143",0.0263952094843693
"E05000130",0.0413669721209677
"E05000131",0
"E05000141",0.0175408713244825
"E05000132",0.00433502067290503
"E05000133",0.00216550586134128
"E05000134",0
"E05000135",0.000890151044263195
"E05000139",0.0090884252137946
"E05000145",0.022671218358445
"E05000128",0.00526728122957587
"E05000136",0.00570134516374785
"E05000142",0.0936042022405595
"E05000583",0.109324280794459
"E05000575",0.0821456773855679
"E05000586",0.0519183581989091
"E05000585",0.0724729178027447
"E05000580",0.029670009324712
"E05000574",0.0280004794016421
"E05000581",0.00810495065358912
"E05000573",0.125070537974354
"E05000584",0.0447462870922746
"E05000582",0.0861962344233846
"E05000579",0.203588694002448
"E05000578",0.266785862639821
"E05000577",0.0085222807560781
"E05000576",0.27184816285129
"E05000589",0.206877624105359
"E05000587",0.127862833439364
"E05000588",0.0871543914920914
"E05000370",0.0023612195725675
"E05000368",0.000205838695828577
"E05000379",0.00862180307139206
"E05000375",0.075480705002158
"E05000372",0.0134376291633734
"E05000373",0
"E05000381",2.63207871176804e-06
"E05000367",0.0287795162850464
"E05000380",0.0618677594590897
"E05000369",0
"E05000366",0.0282976357176549
