"GSS_CODE","Road_Lnight_London_>=70.0","Road_LAeq_16h_London_>=75.0","Road_Lden_London_>=75.0","Rail_Lnight_London_50.0-54.9","Road_Lnight_London_50.0-54.9","Rail_LAeq_16h_London_55.0-59.9","Rail_Lnight_London_55.0-59.9","Rail_Lden_London_55.0-59.9","Road_Lnight_London_55.0-59.9","Road_LAeq_16h_London_55.0-59.9","Road_Lden_London_55.0-59.9","Rail_Lden_London_60.0-64.9","Rail_LAeq_16h_London_60.0-64.9","Rail_Lnight_London_60.0-64.9","Road_Lnight_London_60.0-64.9","Road_LAeq_16h_London_60.0-64.9","Road_Lden_London_60.0-64.9","Road_Lnight_London_65.0-69.9","Rail_Lnight_London_65.0-69.9","Rail_Lden_London_65.0-69.9","Rail_LAeq_16h_London_65.0-69.9","Road_LAeq_16h_London_65.0-69.9","Road_Lden_London_65.0-69.9","Rail_Lden_London_70.0-74.9","Road_LAeq_16h_London_70.0-74.9","Road_Lden_London_70.0-74.9","Rail_Lden_London_>=75.0","Rail_LAeq_16h_London_70.0-74.9","Rail_Lnight_London_>=70.0","Rail_LAeq_16h_London_>=75.0"
"E05000294",0,0,0.000719984550330358,0,0.0306944834973139,0,0,0,0.0255386660477226,0.0406132697904217,0.052043527555352,0,0,0,0.0273589801719419,0.0219636615461618,0.0265782810429602,0.00178819381493195,0,0,0,0.0261602102934805,0.0252532993117434,0,0.0203885735615465,0.0261603008142081,0,0,0,0
"E05000299",0,0,0.00322647014224362,0,0.0128132733570133,0,0,0,0.013097216918482,0.0151790448510638,0.0183755254931804,0,0,0,0.0255328473850354,0.0109292913318596,0.0126455373464646,0.00434529891902007,0,0,0,0.0176123271609123,0.0130584204932976,0,0.0207933700931514,0.0248544643742097,0,0,0,0
"E05000287",0,0.00136936493269687,0.00619651325731341,0,0.0142641367772235,0,0,0,0.00671455309592791,0.0140683455810206,0.0265918533695603,0,0,0,0.0119111200041613,0.0090563120154402,0.0119439251147064,0.00705583165372275,0,0,0,0.00629760110407325,0.00578492851081501,0,0.014582232735218,0.0122003071099069,0,0,0,0
"E05000096",0,0.00518693153427866,0.00900714454696468,0.0636797172602035,0.0460759003590269,0.0559398308290434,0.0379576512131691,0.0937124526039113,0.0388702336743804,0.0602427707736547,0.0780814829517176,0.0442637663557899,0.0338112692868273,0.0248095077236285,0.0414821655386369,0.0380570042538406,0.0426428706355433,0.0100097173261999,0.0159581826013992,0.0321231087179021,0.0200179596477012,0.0368450931369546,0.0375678295362624,0.0185253880160769,0.0322726156896881,0.0390114473834875,0.0379522361277987,0.0161605557198978,0.0308177259382057,0.0239559092728198
"E05000104",0,0.00118437356470824,0.00597845907210762,0.0578942296892118,0.0280741417508134,0.0453657164872884,0.0405385544637877,0.0791496282532872,0.0229177783733875,0.0340464652956679,0.0417677865348778,0.0438066035369257,0.0364642467910625,0.0279342052939301,0.0367022569525325,0.0225547616224976,0.0251914604902569,0.00647601346458471,0.030379366996285,0.0366776533818947,0.0356564100530588,0.0260651747768725,0.0225921316747415,0.0299507951782591,0.0308112722499658,0.035000401373229,0.0663826445286398,0.0341841219559118,0.0522854911179322,0.0370650401455147
"E05000097",0,0,0.000376264859790388,0.0541243042313639,0.0251990272672928,0.0553424528649244,0.0162621956514462,0.0867743391228804,0.0206722875997502,0.0325193632226754,0.0425306788990001,0.0225254710943597,0.0149920714080037,0.0133817337842869,0.0221542686081699,0.0206113511712405,0.0227009447273216,0.000580529388648954,0.0187553121979918,0.0145742722327001,0.0157696814970129,0.0216706532270078,0.0206450406579185,0.0159199225900728,0.0139388199449514,0.0202631539777912,0.034845485364671,0.0179634343358292,0.0264292725028725,0.0190593797292003
"E05000100",0.00575219068294005,0.0233216672354774,0.0317808217694841,0.0607035140920638,0.0526209076888934,0.059166281147918,0.0494088946778759,0.0634816012553305,0.0370909461783909,0.0767446576901326,0.102539877509375,0.0589233441574569,0.038153257137973,0.0335463775603377,0.0351217001577908,0.0398231521423284,0.0458727059977999,0.0271148816876386,0.0277551193652089,0.0393996245792284,0.0462306966406962,0.0345768119489715,0.0355086255542943,0.0378053912449208,0.0320096043056339,0.0333516264071858,0.0244472978320794,0.0165502970153834,0.0143384182155924,0.0142315822145103
"E05000103",0.0029487233845665,0.0228599024094782,0.0314880409501801,0.0101966436220392,0.0982095047861699,0.0136259234028957,0.00220252286195369,0.0175014742506344,0.0497377767951609,0.152667296878862,0.188686051493218,0.00525549663470825,0.00301008930133734,0,0.0334399750043012,0.0615186172718061,0.0772827566998549,0.0297968701666206,0,0.00192390890208305,0.000368867032508115,0.036146472252149,0.044602571012425,0,0.0320737517066366,0.0321168868007925,0,0,0,0
"E05000086",0,0.00132961411483533,0.00339923175704041,0.000242032558835469,0.037090834729669,0.00147082230414347,0,0.00882347629854242,0.0288370321007787,0.0513805950002676,0.0733010108743101,5.13490715812221e-05,0,0,0.0256532716775015,0.0272096907596944,0.0324866154806039,0.00407058956663246,0,0,0,0.0269787558353989,0.0272850779942598,0,0.0190513502715418,0.0243126434859112,0,0,0,0
"E05000090",0,0.000125088702920131,0.00127881886013945,0,0.0652686356114898,0,0,0,0.0383597059527942,0.0735465253877954,0.125374695168,0,0,0,0.0314824694442129,0.0406273311054172,0.0518287094291813,0.00202405192859571,0,0,0,0.0337185690688896,0.0352244283049536,0,0.0221603644980497,0.0295181185525743,0,0,0,0
