New.ward.code,month,mean_ndvi
E05000137,2013-05,
E05000138,2013-05,
E05000139,2013-05,
E05000140,2013-05,
E05000141,2013-05,
E05000142,2013-05,
E05000143,2013-05,
E05000144,2013-05,
E05000145,2013-05,
E05000146,2013-05,
E05000147,2013-05,
E05000148,2013-05,
E05000149,2013-05,
E05000150,2013-05,
E05000151,2013-05,
E05000152,2013-05,
E05000153,2013-05,
E05000154,2013-05,
E05000155,2013-05,
E05000156,2013-05,
E05000157,2013-05,
E05000158,2013-05,
E05000159,2013-05,
E05000160,2013-05,
E05000161,2013-05,
E05000162,2013-05,
E05000163,2013-05,
E05000164,2013-05,
E05000165,2013-05,
E05000166,2013-05,
E05000167,2013-05,
E05000168,2013-05,
E05000169,2013-05,
E05000170,2013-05,
E05000171,2013-05,
E05000172,2013-05,
E05000173,2013-05,
E05000174,2013-05,
E05000175,2013-05,
E05000176,2013-05,
E05000177,2013-05,
E05000178,2013-05,
E05000179,2013-05,
E05000180,2013-05,
E05000181,2013-05,
E05000182,2013-05,
E05000183,2013-05,
E05000184,2013-05,
E05000185,2013-05,
E05000186,2013-05,
E05000187,2013-05,
E05000188,2013-05,
E05000189,2013-05,
E05000190,2013-05,
E05000191,2013-05,
E05000192,2013-05,
E05000193,2013-05,
E05000194,2013-05,
E05000195,2013-05,
E05000196,2013-05,
E05000197,2013-05,
E05000198,2013-05,
E05000199,2013-05,
E05000200,2013-05,
E05000201,2013-05,
E05000202,2013-05,
E05000203,2013-05,
E05000204,2013-05,
E05000205,2013-05,
E05000206,2013-05,
E05000207,2013-05,
E05000208,2013-05,
E05000209,2013-05,
E05000210,2013-05,
E05000211,2013-05,
E05000212,2013-05,
E05000213,2013-05,
E05000214,2013-05,
E05000215,2013-05,
E05000216,2013-05,
