New.ward.code,annual_ndvi_2013,months_with_data
E05000528,0.565020496637255,3
E05000529,0.5076683802228121,3
E05000530,0.6133411944675224,3
E05000531,0.5315975521671207,3
E05000532,0.5853938993212863,3
E05000533,0.4917669876888864,3
E05000534,0.3925874640550338,3
E05000535,0.3249824532617362,3
E05000536,0.19759019003933295,3
E05000537,0.32729073834486316,3
E05000538,0.6278402158553154,3
E05000539,0.3926791202890096,3
E05000540,0.38485297324616746,3
E05000541,0.4069472099632776,3
E05000542,0.2615916637650148,3
E05000543,0.28784053524809733,3
E05000544,0.3591524438990363,3
E05000545,0.4633296500354021,3
E05000546,0.3521706275189516,3
E05000547,0.5750220149412573,3
E05000548,0.18620511894722502,3
E05000549,0.37466575681104103,3
E05000550,0.3253187233807559,3
E05000551,0.5086584445345977,3
E05000552,0.2453132736048218,3
E05000553,0.36855853520709797,3
E05000554,0.5783321312386134,3
E05000555,0.47767756357707897,3
E05000556,0.5819006368609023,3
E05000557,0.5718611489187595,3
E05000558,0.5482872211230677,3
E05000559,0.6676482164961722,3
E05000560,0.6026472829015874,3
E05000561,0.5155356508803467,3
E05000562,0.4763842004333254,3
E05000563,0.47429025872250846,3
E05000564,0.39757267179495287,3
E05000565,0.5313094942202948,3
E05000566,0.5371450368651768,3
E05000567,0.5430367475553662,3
E05000568,0.4902756260645947,3
E05000569,0.515787803757498,3
E05000570,0.5108235871782308,3
E05000571,0.5258560917238139,3
E05000572,0.5045632693694281,3
E05000573,0.2978275653208971,3
E05000574,0.3179046464807282,3
E05000575,0.17932874552562286,3
E05000576,0.3445685034653489,3
E05000577,0.4545866333484854,3
E05000578,0.2610082208043734,3
E05000579,0.253346766779695,3
E05000580,0.2970117859269377,3
E05000581,0.3350454313510936,3
E05000582,0.3729526456892689,3
E05000583,0.1528960946193496,3
E05000584,0.3295308702432296,3
E05000585,0.16800690146855943,3
E05000586,0.21534100322922625,3
E05000587,0.21300978301102325,3
E05000588,0.3312238617887655,3
E05000589,0.22202768364783973,3
E05000590,0.3581494513296933,3
E05000591,0.35949009067600546,3
E05000592,0.46997226905497064,3
E05000593,0.6342925207421047,3
E05000594,0.5224702868845886,3
E05000595,0.4938312978449721,3
E05000596,0.34542425295971774,3
E05000597,0.5761682554124384,3
E05000598,0.581964530786772,3
E05000599,0.4246102485027887,3
E05000600,0.3936245711755016,3
E05000601,0.4190013129486651,3
E05000602,0.5273549866910342,3
E05000603,0.4300207626188237,3
E05000604,0.3480543578438117,3
E05000605,0.4107294150699759,3
E05000606,0.41902537328293965,3
E05000607,0.43774904766250283,3
E05000608,0.3600068022776912,3
E05000609,0.5309631393333254,3
E05000610,0.38000873103152544,3
E05000611,0.5401103142835693,3
E05000612,0.3737705692844482,3
E05000613,0.48025053615240615,3
E05000614,0.3058188249436014,3
E05000615,0.4648140876547832,3
E05000616,0.34719466747529876,3
E05000617,0.3866900703576093,3
E05000618,0.38678522362961315,3
E05000619,0.4296930732890598,3
E05000620,0.3090110634604742,3
E05000621,0.6433136990448367,3
E05000622,0.2472465535094028,3
E05000623,0.3041980972922948,3
E05000624,0.3916397209716151,3
E05000625,0.3873505288213406,3
E05000626,0.4005696007587943,3
E05000627,0.5383273980534321,3
E05000628,0.5370749981696599,3
E05000629,0.5092355521480982,3
E05000630,0.4115305007514851,3
E05000631,0.28983919761785476,3
E05000632,0.17906660139321598,3
E05000633,0.2472746230475429,3
E05000634,0.2758823571905706,3
E05000635,0.30092510926229915,3
E05000636,0.24394209548018964,3
E05000637,0.5080208935144871,3
E05000638,0.29816678472074537,3
E05000639,0.3923772289568565,3
E05000640,0.4689084915294565,3
E05000641,0.17860470780350055,3
E05000642,0.2985883110067629,3
E05000643,0.5154158062464315,3
E05000644,0.2597501251221655,3
E05000645,0.20633646591664467,3
E05000646,0.208607806195272,3
E05000647,0.19544447645010457,3
E05000648,0.344637551807319,3
E05000649,0.1511798338513536,3
E09000001,0.11434370044705595,3
