"GSS_CODE","co2","nox","pm10","pm2.5"
"E05000604",0.0149587285967246,2.86910243652537e-05,4.12398255205542e-06,2.65492768655659e-06
"E05000599",0.00733345929900749,1.16900164558622e-05,1.26766255495098e-06,1.38402559001687e-06
"E05000600",0.00816942747742158,1.49269568424871e-05,2.04790336911456e-06,1.67119565522584e-06
"E05000607",0.0159426932571945,3.48438704943267e-05,5.58391870705531e-06,3.09869312425676e-06
"E05000593",0.00648620948470284,9.928510215266e-06,1.40706808919189e-06,1.25030467995261e-06
"E05000591",0.0231111979693356,4.34391448580776e-05,6.25501570633375e-06,4.28316880231257e-06
"E05000603",0.0145727436392234,2.6821561366462e-05,2.65667147581268e-06,2.08249390426357e-06
"E05000606",0.0152989839527911,2.55891791945745e-05,2.67774614875366e-06,2.72332190848313e-06
"E05000596",0.0256020845248281,4.75993532984982e-05,6.64016341003849e-06,4.53793927902825e-06
"E05000595",0.015824345007392,2.83765610768763e-05,3.54941465156449e-06,2.82937349501204e-06
"E05000608",0.0163566798825526,2.48022591261575e-05,3.23769506105615e-06,3.04332388891068e-06
"E05000601",0.0196104033370378,3.39257174157504e-05,4.03394272120213e-06,3.71881366754398e-06
"E05000609",0.0149032662067194,2.87933695246713e-05,4.28384413760785e-06,2.60713457012957e-06
"E05000592",0.0179326536053143,3.5151266116328e-05,4.93157967867016e-06,3.47073432158069e-06
"E05000597",0.0144692200557772,3.01994543472709e-05,4.5508497890788e-06,3.0269036054072e-06
"E05000590",0.0201243670013337,3.06025207372046e-05,3.62883231358399e-06,4.27452188621029e-06
"E05000602",0.0121123704027613,1.98519005934251e-05,2.83651493788075e-06,2.41337039315609e-06
"E05000594",0.0108307290169831,1.5776709455987e-05,2.49051623401363e-06,2.17737866469761e-06
"E05000598",0.0086726262677004,1.35685558699742e-05,2.18003046390079e-06,1.82639671270354e-06
"E05000605",0.0273379961471123,6.05824402482244e-05,9.08518768866595e-06,4.93022689106595e-06
"E05000515",0.00859466740965045,1.92982613284369e-05,3.23661942320894e-06,1.57182405009043e-06
"E05000502",0.0166540073266053,3.23736020840216e-05,4.85388004711406e-06,2.87442357532997e-06
"E05000510",0.0143101153247419,2.15021509743379e-05,3.48877428025546e-06,2.85543838876963e-06
"E05000511",0.0201826186396706,4.80474948323607e-05,7.22623080164969e-06,3.57395518592775e-06
"E05000503",0.00821112373341146,1.25473443144726e-05,1.73191641674987e-06,1.54900653424437e-06
"E05000505",0.0121022716530071,1.7047019244271e-05,2.37280187625809e-06,2.38945890686677e-06
"E05000495",0.00518084921260057,1.09091143216147e-05,1.90721950564464e-06,1.07716864874636e-06
"E05000497",0.0108779428883527,2.22965744432247e-05,2.51012534631171e-06,2.67515892950774e-06
"E05000506",0.00424118300571461,7.95082661534233e-06,1.11111757296528e-06,9.5596571356191e-07
"E05000507",0.0165621591487609,2.49290814237294e-05,2.87821614943145e-06,3.43467968942268e-06
"E05000501",0.0172654370408721,2.86401853163266e-05,3.71811897544039e-06,3.56164768454488e-06
"E05000508",0.0126971202570029,1.63989779129809e-05,2.14406015777303e-06,2.69570809097117e-06
"E05000514",0.0177909372909685,3.81680565235501e-05,5.03074397597871e-06,3.36050107888116e-06
"E05000512",0.0138881683347146,1.97961842951292e-05,2.64930716423885e-06,2.79845777328313e-06
"E05000513",0.0173430652468957,3.38918842793711e-05,5.50431404758751e-06,2.94685318775614e-06
"E05000500",0.0172197657333319,3.69043289176524e-05,5.76105033466595e-06,3.31048599954683e-06
"E05000499",0.0214708882775997,4.28481595014178e-05,6.83055485816699e-06,3.88226561988812e-06
"E05000496",0.0155998751500423,2.38127550458123e-05,3.89813812629205e-06,3.08197755329242e-06
"E05000504",0.0095993938604739,1.22384696887422e-05,1.76685485030685e-06,1.91829398478841e-06
"E05000498",0.0112841505122286,1.49610707617999e-05,2.03121073639203e-06,2.47869679542981e-06
"E05000509",0.00925888537309504,1.31548234041606e-05,2.00489279096101e-06,1.53388595868034e-06
"E05000559",0.00448227603143727,7.89792700568604e-06,1.19443487762331e-06,9.42992725967289e-07
"E05000560",0.00792689019824055,1.15842160770777e-05,1.72679461406198e-06,1.36339272382907e-06
"E05000556",0.00775692893122196,1.15695377631584e-05,1.5699198431588e-06,1.2200540103788e-06
"E05000562",0.0120607171223162,2.10236177442406e-05,2.89064609066418e-06,2.71336179074885e-06
"E05000571",0.00751489664166307,1.15455497006108e-05,1.52854255694628e-06,1.79720711774459e-06
"E05000557",0.00877331296681341,1.28898428249967e-05,1.67879017657826e-06,1.79654597048643e-06
"E05000561",0.0116157986016388,1.54363784656001e-05,2.28881468323461e-06,2.35641869197158e-06
"E05000572",0.00985763181804836,1.27618062211837e-05,1.75270607950206e-06,2.03426553004165e-06
"E05000566",0.01187350431285,1.67091611813196e-05,1.86048074410542e-06,1.52159044241847e-06
"E05000567",0.0129686672888867,1.9850920956014e-05,2.69526172807667e-06,2.11192518781534e-06
"E05000564",0.0133279814955579,1.90606588701744e-05,2.16771157477511e-06,2.17043042723517e-06
"E05000558",0.0123875433042908,2.07554274938684e-05,3.00773301617012e-06,2.47490148637645e-06
"E05000565",0.0118533551026558,1.9807649880637e-05,2.82591142327644e-06,2.51322072093327e-06
"E05000563",0.0126045558488686,2.08791099866793e-05,3.18022092962303e-06,3.36972515779145e-06
"E05000568",0.00998437966917175,1.39448976102767e-05,1.9387185570912e-06,2.26654587677643e-06
"E05000570",0.0100366792239564,1.59960987344244e-05,2.29948179647471e-06,1.9269295535951e-06
"E05000569",0.0105926498108562,1.73243578603769e-05,2.48089158004856e-06,2.18585834194447e-06
"E05000555",0.00721681411884007,1.9899604297891e-05,1.76824762059106e-06,2.82242143347512e-06
"E05000520",0.00509221151363619,1.01362094652181e-05,1.56777788282606e-06,9.95416922800416e-07
"E05000530",0.00752017172012917,1.19654995235766e-05,1.41283945320579e-06,1.12166561154035e-06
"E05000522",0.00816531081292963,1.35206574823617e-05,1.54152922085162e-06,1.24569093335135e-06
"E05000523",0.0105830739091517,1.62561006630686e-05,2.60585445262051e-06,2.28384583736462e-06
"E05000531",0.0124135443934344,2.12472853695275e-05,2.61621749819692e-06,2.29269234922288e-06
"E05000519",0.00442142167154573,7.82578277069871e-06,1.16869094250416e-06,6.90816183275791e-07
"E05000526",0.0186090702320246,5.02239614902675e-05,3.47852783512035e-06,2.25920233785788e-06
"E05000524",0.0122044497495755,2.52704949658723e-05,2.09494652760472e-06,1.51525629566124e-06
"E05000517",0.00653619708704806,9.21367944624469e-06,1.218211857813e-06,8.81274238429244e-07
"E05000525",0.0225229543146237,4.17251692725769e-05,4.74289674800876e-06,3.08090980660424e-06
"E05000521",0.00860608857659,1.17632182872009e-05,1.62892673732526e-06,2.23952352198043e-06
"E05000518",0.0101616591324836,1.57322397040399e-05,2.23203851061548e-06,2.48809346085458e-06
"E05000532",0.0112482702917447,1.87621288784853e-05,2.95655348674821e-06,2.67441251850379e-06
"E05000533",0.0123738807658726,1.8588429716257e-05,2.88786683664817e-06,2.58977095569124e-06
"E05000529",0.0119820589683461,1.70343547641075e-05,1.96927170256497e-06,2.02806188838476e-06
"E05000527",0.0174190470370302,3.19600479115315e-05,4.23184226834284e-06,2.92731743061499e-06
"E05000528",0.0129428818513628,2.31069664440916e-05,2.37350404916041e-06,1.6427482377184e-06
"E05000516",0.0121285316680815,2.20846710225074e-05,2.7320280556928e-06,3.11797291914203e-06
"E05000456",0.00986744911808203,1.48405228651597e-05,2.04646640047718e-06,2.43008853218781e-06
"E05000458",0.0102093167632373,2.25015380925233e-05,3.09462401450377e-06,2.57574304464527e-06
"E05000472",0.00649845334199599,1.02954862112559e-05,1.01977919975171e-06,9.18282038501937e-07
"E05000474",0.0121666453123508,1.87592570141386e-05,2.32790148183217e-06,2.70556763695558e-06
"E05000465",0.00812660015885003,1.12472959179558e-05,1.60629678247604e-06,2.01816994458767e-06
"E05000473",0.0106951744873414,1.91769290760936e-05,2.89004095891139e-06,2.44215819535436e-06
"E05000469",0.0144477454344048,2.45552526225266e-05,3.43996882802046e-06,2.76755561968156e-06
"E05000459",0.0187424901714827,3.03143387917545e-05,3.46208422610197e-06,3.28691504569963e-06
"E05000470",0.00983280112508539,1.64749141540341e-05,2.25966936507567e-06,2.26479163357385e-06
"E05000468",0.0113718260621237,2.0594239883938e-05,2.6406896834381e-06,2.88821987336078e-06
"E05000466",0.0157105816924386,2.99414695479415e-05,3.90227194284516e-06,3.18636444396317e-06
"E05000455",0.0182845867970562,3.09744591878975e-05,3.6630289313325e-06,3.09598892156369e-06
"E05000460",0.0125643243231965,2.15863802065022e-05,2.95126484254313e-06,2.1870221994217e-06
"E05000467",0.0104394525754589,2.05695307246991e-05,3.04549275682848e-06,2.02525644155288e-06
"E05000461",0.0155661000714427,1.77459366948337e-05,2.03948535944278e-06,3.0956193257692e-06
"E05000464",0.0114170922870777,1.72677225397985e-05,2.2325569856817e-06,2.64348471737365e-06
"E05000462",0.0188363062095559,3.0424925654392e-05,3.22143558547245e-06,2.56964946178535e-06
"E05000471",0.0205848801391755,3.46164760790987e-05,3.72403627206121e-06,3.49821102255224e-06
"E05000463",0.0133723512292477,2.42367706919941e-05,2.95503765600667e-06,2.54032461110094e-06
"E05000457",0.0157053186472187,2.55119105121546e-05,2.99836480543976e-06,2.66491795442835e-06
"E05000621",0.0115846604217313,2.10967430449195e-05,3.23680014593337e-06,1.49378471793627e-06
"E05000625",0.0223624190662309,3.88040168743204e-05,4.04312965529815e-06,3.31526360473022e-06
"E05000627",0.0176771039431288,2.67559426871999e-05,2.98572026961066e-06,2.62877081907383e-06
"E05000628",0.0132477230831687,1.77383272804052e-05,2.03644506001677e-06,1.67594020104921e-06
"E05000629",0.0160512414385906,2.47227202584967e-05,2.89235750538339e-06,2.38744623441009e-06
"E05000613",0.0185979391675066,2.96239581247632e-05,3.48312439506355e-06,2.9569918982073e-06
"E05000616",0.0239202980892086,3.61952707466435e-05,3.34422909431915e-06,3.76009093695883e-06
"E05000626",0.0284288085544737,4.51234026520284e-05,3.28877339842138e-06,3.61395549055258e-06
"E05000624",0.0197423618848051,3.07056949214698e-05,3.08155739305743e-06,3.85876270042564e-06
"E05000612",0.0175217398022036,2.69419455756144e-05,2.8792391944885e-06,4.64574152055543e-06
"E05000618",0.0207194871416552,3.06090009461527e-05,3.29115047595654e-06,3.31607209591654e-06
"E05000615",0.0176545344887245,2.32356344462249e-05,2.90995388893761e-06,2.91954155785918e-06
"E05000611",0.0151190336305589,2.07272271265813e-05,2.44035619761626e-06,2.11023764343476e-06
"E05000610",0.0224906966822153,2.93882389308823e-05,3.03641900806708e-06,3.64279191684269e-06
"E05000614",0.0264604070618531,5.94765966040357e-05,7.97099133766774e-06,4.65495911870492e-06
"E05000619",0.020434154869786,3.30307621622694e-05,3.79930433520987e-06,3.34516145598406e-06
"E05000617",0.0261124259261369,5.03191461617558e-05,5.85667256056039e-06,4.07502796562774e-06
"E05000622",0.0208655566777747,4.14832880553533e-05,4.93886439254266e-06,3.3755511806093e-06
"E05000620",0.0153336477487954,3.5533527729909e-05,3.65020277163229e-06,3.03788905450817e-06
"E05000623",0.025765394751273,4.70296345770962e-05,5.46150187921277e-06,4.65162050657405e-06
"E05000259",0.0209235055694777,3.28938010871498e-05,2.87565055905379e-06,2.58914798441638e-06
"E05000257",0.0331547783893306,4.44350928394175e-05,4.06467965647677e-06,4.99685429076778e-06
"E05000262",0.0189873311235313,3.02262579938161e-05,2.38572027158067e-06,2.70863114647067e-06
"E05000260",0.0302375564238788,4.46877468840665e-05,4.18586023325161e-06,4.29585775544883e-06
"E05000254",0.0337074853618289,5.25433449387749e-05,4.52112682859862e-06,5.08297033699599e-06
"E05000261",0.0282014226923096,5.4921835299909e-05,7.58040198033854e-06,5.55130115083456e-06
"E05000256",0.0359413079117268,7.89606029071895e-05,9.95952367219429e-06,6.07474970230518e-06
"E05000252",0.0410546343401344,7.8307113688962e-05,8.9969014006587e-06,5.81579410284666e-06
"E05000251",0.0250875661227771,3.74359412385518e-05,4.51476646465782e-06,3.56370939815697e-06
"E05000265",0.0294772188245228,6.11773117282122e-05,8.76518043666058e-06,4.71796228630892e-06
"E05000263",0.0261893767122318,5.1284253881913e-05,5.66310979777458e-06,4.09604180625679e-06
"E05000253",0.0179299423262597,4.57717690881928e-05,3.93638292572224e-06,2.41795955459488e-06
"E05000264",0.0324111403919292,4.70297321948185e-05,4.66677119451349e-06,5.27529739248838e-06
"E05000255",0.0327910862491246,5.49517288958854e-05,5.39294576308322e-06,4.00915619392963e-06
"E05000258",0.0380852730192978,6.18158849848058e-05,6.44423159061709e-06,5.22531097343869e-06
"E05000250",0.0369108797692855,6.45444801377423e-05,6.74431665001759e-06,6.39107654396675e-06
"E05000387",0.0499060755150089,9.7473424809415e-05,8.7715580092483e-06,6.84275304947403e-06
"E05000391",0.0347136755999471,6.62083648713201e-05,6.93137557071196e-06,4.83309524817339e-06
